property,opened_date,contracted_date,completed_date,signoffreceived_date,usps_id,closed_date,usps_issue_number,estimated_cost,status,priority,category,type,assignedto,project_origin,project_age,age_bucket,stage_group,is_open,project_key
"Auburn, MS",2023-01-10,,2024-01-08,,,,,,Closed,Urgent,Capital Improvement,Carpet,Brandon Davis,Internal,1198.0,90+,Closed,Closed,"Auburn, MS|2023-01-10"
"Auburn, MS",2023-01-10,,2024-01-08,,,,,,Closed,Urgent,Capital Improvement,Painting,Brandon Davis,Internal,1198.0,90+,Closed,Closed,"Auburn, MS|2023-01-10"
"Auburn, MS",2023-01-10,,2024-01-08,,,,,,Closed,Urgent,Capital Improvement,Misc. Repairs,Brandon Davis,Internal,1198.0,90+,Closed,Closed,"Auburn, MS|2023-01-10"
"Auburn, MS",2023-01-10,,2024-01-08,,,,,,Closed,Urgent,Capital Improvement,Doors,Brandon Davis,Internal,1198.0,90+,Closed,Closed,"Auburn, MS|2023-01-10"
"Auburn, MS",2023-01-10,2023-03-23,2023-04-05,,,2024-01-16,,1590.0,Closed,Urgent,Capital Improvement,Roof Repair,Brandon Davis,Internal,371.0,90+,Closed,Closed,"Auburn, MS|2023-01-10"
"Auburn, MS",2023-01-10,2023-05-24,2023-06-18,2023-06-26,,2023-07-05,,720.0,Closed,Urgent,Capital Improvement,Electrical Repairs,Brandon Davis,Internal,176.0,90+,Closed,Closed,"Auburn, MS|2023-01-10"
"Auburn, MS",2023-01-10,,2024-01-08,,,,,,Closed,Urgent,Capital Improvement,Siding,Brandon Davis,Internal,1198.0,90+,Closed,Closed,"Auburn, MS|2023-01-10"
"Auburn, MS",2023-01-10,,2024-01-08,,,,,,Closed,Urgent,Capital Improvement,Painting,Brandon Davis,Internal,1198.0,90+,Closed,Closed,"Auburn, MS|2023-01-10"
"Auburn, MS",2023-01-10,2023-05-01,2023-06-26,2023-06-27,,2023-08-08,,1550.0,Closed,Urgent,Capital Improvement,Striping,Brandon Davis,Internal,210.0,90+,Closed,Closed,"Auburn, MS|2023-01-10"
"Auburn, MS",2023-01-10,,,,,2024-07-19,,,Closed,Urgent,Capital Improvement,Masonry,Brandon Davis,Internal,556.0,90+,Closed,Closed,"Auburn, MS|2023-01-10"
"Auburn, MS",2023-01-24,2023-05-01,2023-05-09,,,2023-05-22,,770.0,Closed,Urgent,Capital Improvement,Electrical Repairs,Brandon Davis,Internal,118.0,90+,Closed,Closed,"Auburn, MS|2023-01-24"
"Auburn, MS",2023-04-10,2023-03-27,2023-03-31,,,,,240.0,Closed,Normal,Capital Improvement,Misc. Repairs,Brandon Davis,Internal,1108.0,90+,Closed,Closed,"Auburn, MS|2023-04-10"
"Auburn, MS",2023-05-07,,2023-04-30,,,2023-05-09,,1100.0,Closed,Normal,Capital Improvement,Misc. Repairs,Brandon Davis,Internal,2.0,0-30,Closed,Closed,"Auburn, MS|2023-05-07"
"Auburn, MS",2023-06-04,2023-03-27,2023-06-04,,,2023-08-15,,150.0,Closed,Normal,Capital Improvement,Misc. Repairs,Brandon Davis,Internal,72.0,61-90,Closed,Closed,"Auburn, MS|2023-06-04"
"Auburn, MS",2023-06-25,2023-05-10,2023-06-21,2023-06-25,,2023-06-27,,218.96,Closed,Normal,Capital Improvement,Misc. Repairs,Brandon Davis,Internal,2.0,0-30,Closed,Closed,"Auburn, MS|2023-06-25"
"Greenville, NC",2023-09-12,,,,,2024-02-07,,20000.0,Closed,Urgent,Capital Improvement,Doors,Mike Johnson,Internal,148.0,90+,Closed,Closed,"Greenville, NC|2023-09-12"
"Danville, MA",2024-03-01,,,,,2025-01-02,,,Closed,Urgent,Capital Improvement,HVAC Repairs,Mike Johnson,Internal,307.0,90+,Closed,Closed,"Danville, MA|2024-03-01"
"Hamilton, ND",2024-08-21,2024-10-07,2024-11-19,2024-01-21,2440068,2025-01-15,2982127,14500.0,Closed,Urgent,Capital Improvement,HVAC Replacement,Mike Johnson,USPS,147.0,90+,Closed,Closed,"Hamilton, ND|2024-08-21"
"Danville, MA",2024-09-12,,,,,,,300000.0,Assigned,Normal,Capital Improvement,HVAC Replacement,Mike Johnson,Internal,587.0,90+,Not Started,Open,"Danville, MA|2024-09-12"
"Lancaster, GA",2024-09-27,2025-02-18,2025-03-26,,,2025-09-15,,29000.0,Closed,Normal,Capital Improvement,Roof Replacement - Flat,Brandon Davis,Internal,353.0,90+,Closed,Closed,"Lancaster, GA|2024-09-27"
"Danville, MA",2024-11-06,,,,,2025-02-19,,0.0,Closed,Normal,Capital Improvement,HVAC Replacement,Mike Johnson,Internal,105.0,90+,Closed,Closed,"Danville, MA|2024-11-06"
"Greenville, NC",2024-12-02,2024-12-02,2024-12-12,2024-12-12,,2024-12-13,,1150.0,Closed,Normal,Capital Improvement,Glass,Mike Johnson,Internal,11.0,0-30,Closed,Closed,"Greenville, NC|2024-12-02"
"Springfield, NH",2024-12-31,2025-03-14,2025-04-10,,,2025-04-30,,13875.0,Closed,Normal,Capital Improvement,Roof Repair,Mike Johnson,Internal,120.0,90+,Closed,Closed,"Springfield, NH|2024-12-31"
"Hudson, MO",2025-02-06,,,,na,2025-07-10,na,,Closed,Urgent,Capital Improvement,HVAC Replacement,Mike Johnson,USPS,154.0,90+,Closed,Closed,"Hudson, MO|2025-02-06"
"Milton, MO",2025-02-27,2025-04-09,2025-06-12,,,2025-06-24,,67731.0,Closed,Normal,Capital Improvement,Roof Replacement - Flat,Mike Johnson,Internal,117.0,90+,Closed,Closed,"Milton, MO|2025-02-27"
"Norwood, ID",2025-03-01,2025-04-23,2025-07-23,,na,2025-08-06,na,42923.0,Closed,Normal,Capital Improvement,Roof Replacement - Flat,Mike Johnson,USPS,158.0,90+,Closed,Closed,"Norwood, ID|2025-03-01"
"Kingston, PA",2025-06-20,2025-08-10,2025-09-01,2025-09-02,2545818,2025-09-18,3092772,19850.0,Closed,Normal,Capital Improvement,HVAC Replacement,Sarah Williams,USPS,90.0,61-90,Closed,Closed,"Kingston, PA|2025-06-20"
"Franklin, CO",2025-06-26,2025-08-19,2025-08-20,2025-08-24,2548259,2025-09-03,3095316,896.75,Closed,Normal,Capital Improvement,Plumbing,Sarah Williams,USPS,69.0,61-90,Closed,Closed,"Franklin, CO|2025-06-26"
"Canton, NC",2025-07-08,2025-07-28,2025-08-09,2025-08-11,na,2025-10-06,na,34998.0,Closed,Urgent,Capital Improvement,Roof Replacement - Flat,Mike Johnson,USPS,90.0,61-90,Closed,Closed,"Canton, NC|2025-07-08"
"Lexington, VA",2025-07-23,,,,na,,na,115000.0,Assigned,Normal,Capital Improvement,Roof Replacement - Flat,Mike Johnson,USPS,273.0,90+,Not Started,Open,"Lexington, VA|2025-07-23"
"Newport, VA",2025-07-24,,,,na,,na,21000.0,Assigned,Normal,Capital Improvement,Roof Replacement - Shingle,Mike Johnson,USPS,272.0,90+,Not Started,Open,"Newport, VA|2025-07-24"
"Newport, VA",2025-07-24,,,,na,,na,12000.0,Assigned,Urgent,Capital Improvement,HVAC Replacement,Mike Johnson,USPS,272.0,90+,Not Started,Open,"Newport, VA|2025-07-24"
"Salem, NM",2025-07-24,2025-07-29,2025-08-11,2025-08-12,na,2025-10-06,na,17325.0,Closed,Urgent,Capital Improvement,Roof Replacement - Flat,Mike Johnson,USPS,74.0,61-90,Closed,Closed,"Salem, NM|2025-07-24"
"Salem, WI",2025-07-28,2025-07-28,2025-09-30,2025-10-09,2558021,2025-10-19,3105407,18000.0,Closed,Urgent,Capital Improvement,HVAC Replacement,Sarah Williams,USPS,83.0,61-90,Closed,Closed,"Salem, WI|2025-07-28"
"Plymouth, AR",2025-07-30,2025-09-10,,,na,,na,2410.0,Contracted,Normal,Capital Improvement,Lighting,Mike Johnson,USPS,266.0,90+,In Progress,Open,"Plymouth, AR|2025-07-30"
"Florence, NE",2025-08-12,,,,na,,na,52675.0,Assigned,Normal,Capital Improvement,Roof Replacement - Flat,Mike Johnson,USPS,253.0,90+,Not Started,Open,"Florence, NE|2025-08-12"
"Lancaster, IN",2025-08-12,2025-10-14,,,na,,na,33910.0,Contracted,Normal,Capital Improvement,Roof Replacement - Flat,Mike Johnson,USPS,253.0,90+,In Progress,Open,"Lancaster, IN|2025-08-12"
"Columbia, NY",2025-08-12,2025-09-29,,,na,,na,41503.0,Contracted,Normal,Capital Improvement,Roof Replacement - Flat,Mike Johnson,USPS,253.0,90+,In Progress,Open,"Columbia, NY|2025-08-12"
"Burlington, HI",2025-08-12,2025-09-29,,,na,,na,12240.0,Contracted,Normal,Capital Improvement,Roof Replacement - Flat,Mike Johnson,USPS,253.0,90+,In Progress,Open,"Burlington, HI|2025-08-12"
"Auburn, TN",2025-08-13,2025-09-15,2025-09-30,2025-10-01,2564522,2025-10-19,3112074,12576.0,Closed,Normal,Capital Improvement,Roof Replacement - Shingle,Mike Johnson,USPS,67.0,61-90,Closed,Closed,"Auburn, TN|2025-08-13"
"Florence, MO",2025-08-13,2025-08-24,2025-09-07,,na,2025-09-18,na,36493.0,Closed,Normal,Capital Improvement,Roof Replacement - Flat,Mike Johnson,USPS,36.0,31-60,Closed,Closed,"Florence, MO|2025-08-13"
"Hudson, WI",2025-08-13,2025-09-23,,,2564667,,3112226,80000.0,Contracted,Urgent,Capital Improvement,Roof Replacement - Flat,Mike Johnson,USPS,252.0,90+,In Progress,Open,"Hudson, WI|2025-08-13"
"Clinton, CA",2025-08-24,2025-08-31,2025-09-16,,na,2025-10-06,na,4109.0,Closed,Urgent,Capital Improvement,HVAC Replacement,Mike Johnson,USPS,43.0,31-60,Closed,Closed,"Clinton, CA|2025-08-24"
"Clayton, AK",2025-08-24,2025-08-24,2025-09-03,,na,2025-09-18,na,30120.0,Closed,Normal,Capital Improvement,Roof Replacement - Flat,Mike Johnson,USPS,25.0,0-30,Closed,Closed,"Clayton, AK|2025-08-24"
